ID,reviews,sentiment,sentiment,sentiment,sentiment,sentiment
83,第一次吃四川火锅啊，确实是跟别的火锅是不一样，就微辣的我们点的是微辣的扔，然是捞出来了，整整一大碗的花椒辣椒嗯，还有其他的一些可能辣的东西，哎嗯但是他家的锅点都不便宜就郭点儿就是最低就是58实际上要100块钱的话，根本的东西就吃了一个三分之一宝，但是他家的后续不管服务啊，还有就是临出门的时候，糖萼还有树清口水都准备得很充分。,Not Mentioned,Neutral,Negative,Not Mentioned,Not Mentioned
99,有表演，就是有点小贵,Not Mentioned,Not Mentioned,Not Mentioned,Negative,Not Mentioned
100,味道还是不错的，但是菜量不大，感觉同样一盘肉肉量少一些。有点难过的是88元的券因为有新客减20这样的优惠就不允许再跟29元那个团购券一起用了，非得让再原价团个88的才行，有点不太能理解。,Not Mentioned,Negative,Negative,Not Mentioned,Neutral
109,饭菜味道很好，排队排死人，以后不会去排队吃了，希望老板能够网络预约排号！,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
115,千万别买，都是肥肉，全扔了出去,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
117,价格太贵，味道不错????????,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
121,很有特色的火锅店，价格稍贵，味道还可以,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
134,其他都很好，只是性价比不怎么高，但是四川火锅比较正宗的都很贵，可以接受的。,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned
137,芝麻酱不好吃，不够别火锅的调料多,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
145,两个人没喝酒，点了290的菜，没剩。。。菜贵，量少，底料味道一般，我在别的城市吃过小龙坎，完全不是一个味??好尴尬,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative
147,服务员上错菜，服务不够积极，菜品还不错，没有小菜,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
148,挺贵的，量不多，人多，就是纯辣，环境不错,Not Mentioned,Not Mentioned,Negative,Positive,Negative
151,不是很好吃 很不干净 和其他地方的小龙坎比起来差太多了 服务员态度挺不错的,Not Mentioned,Positive,Not Mentioned,Negative,Negative
164,菜不错 认识服务员就能插队 服务员给两个人插队坐八人台 打电话不给预定 四点就过去占座也不给包间 十一个人挤一张小方桌 就是不给包间  点菜就开始忽悠办卡说能全额消费 结账的时候告诉储值金额不能全额消费,Not Mentioned,Negative,Not Mentioned,Negative,Positive
166,味道还算可以、价钱有点高、希望便宜点、在把卫生提高点！,Not Mentioned,Not Mentioned,Negative,Negative,Positive
169,分量少，价格高，凳子还不舒服，不推荐,Not Mentioned,Not Mentioned,Negative,Negative,Negative
170,除了贵，别的毛病没有，真的很好吃，尤其是夏天，无辣不欢啊，可惜只能抢一次卷，希望店家多搞活动哦，,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
171,果然 我这种饭量的人不能出去吃饭 或者吃饭之前吃点零食 菜价完全高 而且分量很小 为了肥肠节子去的 点了一看 比我在福建吃的小一半....糍粑不错 随便点的水晶肥牛很惊喜 味道好而且够厚 但是完全不会老到咬不动 推荐 哦对了 火锅面不是方便面 我这种胃贱想吃方便面的人表示很心痛 服务好服务很好 只是小姐姐在旁边站着看弄的我有点不好意思使劲吃hhhhhh,Not Mentioned,Positive,Negative,Not Mentioned,Neutral
172,去了很多次一直觉得小龙坎很好吃 但是自从没了锅中锅 吃着没以前有感觉了 锅中锅都不上了 搞不懂 最近俩次菜品也不好 一次虾滑做的很碎 下锅都不成型 给免费换了 但是口感没有之前的好 最后一次去是那个玫瑰圆子 肉丸不新鲜好吗？懒着说了 有点失望 现在不知道怎么了 跟以前差很多,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
182,店内环境不错，但是不开空调暖气，吃的一直冷飕飕的…点的微辣锅底开始吃沾着油碟还不怎么辣，后来越吃越辣。莴苣片很好吃，鲜牛肚和鸭肠也好吃，就是量有点少……红糖糍粑一般，但是油炸酥肉很好吃，点他家神仙牛肉还送甜点椰汁。,Not Mentioned,Not Mentioned,Not Mentioned,Positive,Negative
184,同等价位真的不推荐他家。第一，排风真的很差，吃一顿真的很呛。第二，调味真的很少，附送的小吃真的跟海底捞差太多了。第三，口味真的很一般，性价比跟不上。所以，同等价位不推荐他家。,Not Mentioned,Not Mentioned,Negative,Negative,Neutral
193,锅底太差了太腻了好像不是一次性的叫服务员半天没人理单都买完了还没给我打包红糖糍粑而且红糖糍粑太厚了油豆皮还是挺好吃的小料区调料太少希望以后会改进,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Neutral
194,菜品比成都的贵，可能是因为空运吧，吃着吃着汤汁就苦了，可能是因为没及时的加水吧。,Not Mentioned,Negative,Negative,Not Mentioned,Negative
195,这次收银态度很不好。消费288，我说我团3张100的代金券。非跟我说，满百才能用。哪写的。,Not Mentioned,Negative,Neutral,Not Mentioned,Not Mentioned
197,龙泉店比较安静，没那么多人排队。上菜快，口味不错，价格小贵。,Not Mentioned,Positive,Negative,Positive,Positive
198,刚吃过海底捞又来吃小龙坎，只想说小龙坎的服务远没有海底捞好，但是比海底捞贵，味道嘛，都是连锁企业，差的不多，以后可能不会来了,Not Mentioned,Negative,Negative,Not Mentioned,Neutral
199,可以说是我吃过最难吃的火锅了 没有任何亮点 性价比贼低,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative
201,只是一家装修还不错的店 火锅难吃的不会再来第二次,Not Mentioned,Not Mentioned,Not Mentioned,Positive,Negative
202,味道不错，牛黄喉，脆毛肚，麻辣牛肉，鸭血都很奈斯！！！鸭肠感觉差一点，颜色感觉也很怪异，点了一杯前任椰奶，可能觉得两个人，又赠送了一杯，很感谢！多加一点椰奶就好了，味道有点淡。吃着吃着爱上了番茄锅??，番茄锅煮菜太好吃了??,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
203,冲着饭店名气来的 之前在别的地方吃过 说实话大连这家真的是挺让人失望的   1??点的西施肥牛 建议大家肉类点点儿别的吧 西施肥牛肉质真的不怎么样 超级薄超级薄的一层牛肉 从那个冰坨上撕下来的时候还会碎 涮到那个大锅里都得瞪起眼仔细找 吃到嘴里跟没吃一样 （图一）2??牛骨髓 之前吃的一直都是那种粗粗的牛骨髓 他家冰冻的很细一条儿 味道也一般 3??点的番茄锅 还可以吧 到后来锅里没水了倒还挺浓郁 结果服务员特热情的加了水又没味儿了…总而言之 没团券的考虑考虑吧 人均100吧还吃不爽 就这样,Not Mentioned,Positive,Neutral,Not Mentioned,Negative
209,贵，味道还不错，环境还挺好。可以,Not Mentioned,Not Mentioned,Negative,Positive,Positive
210,真心觉得不咋的，一进店门就呛的打喷嚏不停，火锅吃起来不香就是那种辣喉咙应该是加了辣椒精，服务员一问三不知锅都要烧干了喊了几次才跑过来添汤，加的汤就是白水，问服务员加的什么汤？回答，高汤！你是骗我没喝过高汤吗？总之，不会再光顾！！,Not Mentioned,Negative,Not Mentioned,Negative,Neutral
213,辣是真心辣，不过味道确实值得排队，排了好久好久，吃的很舒服,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
215,"微辣也很辣，量少，没点什么2个人300多
味道没有什么特别的",Not Mentioned,Not Mentioned,Neutral,Not Mentioned,Negative
216,服务挺好的 但是酥肉全是空的 不实惠了 要不里面全是猪油 建议别放火锅里 不然吃的全是猪油和面皮  一点肉都没太坑了 这一份酥肉 应该叫素油,Not Mentioned,Positive,Negative,Not Mentioned,Negative
217,价格有点偏高，菜品不是很足，味道还不错，值得再去,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
221,这是第二次来，上次来感觉很好，今天就带亲人来了，可令人郁闷的是晚上到第二天家里四个大人有三个拉肚子了，不相信这么贵的价位东西还能不干净，不过从头天晚上到第二天早上也没吃多少东西，实在找不出其他可能，真郁闷！,Not Mentioned,Not Mentioned,Negative,Negative,Not Mentioned
223,"1.屋顶上掉灰，来回换了3桌，锅里面，菜里面都是。
不过，服务员很好，来回帮忙调换。
2.最关键的是，吃饭回来后都拉肚子了，这两天，我们肚子都特别不舒服。
难道是用了地沟油还是灰吃多了!!!还是锅压根没换，还是菜品不干净!!!冲着品牌去的，太让顾客失望了！",Not Mentioned,Positive,Not Mentioned,Negative,Not Mentioned
226,我从来不写评价，今天写一写！总体说一般！首先店门口吧台服务员在准备兑换团购券时，其中一个服务员竟然将鼻子直接擤到地上，我的天啊，好恶心！再说吃饭，收拾桌子的大姐油抹布擦完桌子再擦凳子，好吧，我也忍了！服务员服务态度很不咋滴，推销会员卡倒是蛮有激情！服务太差！总体太一般，绝不会再去！,Not Mentioned,Negative,Neutral,Not Mentioned,Not Mentioned
229,真的没有刚开业那会好了……现在不好吃量还小,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
231,感觉不错，就是菜量有点小………………,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
233,觉得这是比较差的一次火锅体验，冲着小龙坎的名字去的，但是菜品一般，消费又比较高，平均每人100以上了，不太值得,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
238,服务态度不太好  应该都是新来的？？,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
244,服务员太次了 要常温啤酒拿冰镇的 没有香菜葱末也不知道给拿 根本没有服务意识 差！,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
248,1、表扬：牛黄喉 多数火锅店只卖猪黄喉 因为成本低 但是不好吃  牛黄喉 厚实 脆脆的  只是这刀工不敢恭维 特别影响口感；冰球鹅肠很有特点  还不错  2、不理解：没有比较就没有伤害   作为沈阳小龙坎的铁粉儿  实在无法认同大连小龙坎这个味道   但着实不好吃  辣的味道不对    3、提点儿不成熟的小建议 ：服务员引路迷迷糊糊两度走错桌；不主动提供葱花、蒜泥和蚝油 ；加汤不及时  照顾不周  没有围裙  ！！！！放衣服的篮子很通风 衣服上全是火锅的味道  …… 有点失望   整体感觉 超级不好  也没有望改正 只希望给远道而来的你们提供一个参考  也就还好,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Neutral
253,特别好吃，味道非常正宗，服务到位，缺点就是太贵哈哈,Not Mentioned,Positive,Negative,Not Mentioned,Positive
256,太贵了 俩人吃300多 然后微辣还特别辣 吃不习惯,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
257,怎么说呢…太一般了 餐具脏 喊服务员换也不想给换 服务是真不咋地 吧台收银是最差的 从头到尾讲话都没抬过头 也太没礼貌了吧？,Not Mentioned,Negative,Not Mentioned,Negative,Neutral
258,网上看见的也想去尝尝  但当我看了菜单以后真心感觉好贵 吃了以后感觉性价比不高 不会去了,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned
269,"如图是换完的香菜，又是这样。服务员说这是最好的。而且菜品上全 香油还没有上来。。。也是醉了。   之前的经理不在了。管理越来越差  这样下去真不想去了。",Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
277,本来用餐是比较愉快的，但结帐的人员态度比较差，店内有活动是给顾客优惠但希望你们的服务不要打折，收银台的服务员就很差,Not Mentioned,Negative,Neutral,Not Mentioned,Not Mentioned
281,去的时候调料就没有葱花了，到快吃完才上来，期间催了n次。味道可以，服务一般。,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
287,价格比成都偏高味道一般香料太多,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
288,说实话，价格比自由渡贵了一倍，味道也没好到哪去，非常的不推荐。,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative
292,小龙坎火锅，作为四川人还是要来吃吃，味道在大连算不错了。就是菜量少，菜的品质有待提高。不过各方面都还不错。五星以资鼓励！,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
293,价格高 两个人吃了380 不推荐 一般般,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative
295,没有期望那么好、味道一般吧，价位中上、吃了一次就可以了。,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
298,就是不好吃。特别不好吃。太难吃了。,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
301,味道不错，就是服务员有点不舒服,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
306,不团券的话感觉性价比太低了 我团的50抵100的券 都感觉一般 反正不会再去了,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
307,结账的服务员不好,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
310,游戏机不错，但是火锅真没那么好吃，最好吃的是红糖粑粑，菜品不便宜，都是炒出来的吧,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
312,小龙坎认证加盟店。味道不错，食材也挺正宗。就是价格比成都的贵不少，性价比低点……,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
313,微博上看见的推荐，想着去尝尝鲜，毕竟大连的四川火锅都吃遍了，锅底味道还行吧，但对于我来说味道还不够，菜品分量比较大价格也比较贵，两三个人想多吃几样菜都不敢点，根本吃不了，应该出点半份才，时间太长了也没有图片可参考，就这样！,Not Mentioned,Negative,Negative,Not Mentioned,Positive
317,性价比挺一般的。人挺多，服务员忙不过来，要一个香油要了四次。口味上其实没有大家说的那么难吃。看你抱着什么心态去的，如果是那种抱着这是大连最好吃的火锅，最正宗的，那一定会失望；要是你抱着就是一家火锅店，真的还可以。毕竟每家杨国福口味还不一样呢。价格贵这个事，其实我觉得真的还好。大家在对比的时候，别忽略了这是大连，不是成都。人民路开店房租也贵吧，空运来的材料也是要成本的吧。看到被喷的那么惨，觉得有必要为想去吃的人做出理智的评价。,Not Mentioned,Neutral,Negative,Not Mentioned,Neutral
322,空调不好用，好热！！,Not Mentioned,Not Mentioned,Not Mentioned,Negative,Not Mentioned
323,人气火爆，到饭点马上开始等位。味道尚佳，是四川火锅的味道。价格偏高，同等的四川火锅里肉品质量很好，但价格偏高。环境有一点吵杂，因为散台靠得很近，开放式的大厅。服务很好，服务员添汤收拾都比较勤快到位。重点推荐小锅豆腐，超级赞。,Not Mentioned,Positive,Negative,Negative,Positive
324,菜品味道不错 服务员是个帅小伙儿 态度好 值得去 就是有点小贵 人挺多的,Not Mentioned,Positive,Negative,Not Mentioned,Positive
325,空调不好用，很热！,Not Mentioned,Not Mentioned,Not Mentioned,Negative,Not Mentioned
326,1.锅底很腻，番茄锅不知道里面放了多少番茄添加剂，红油汤微辣辣死人；2.管理乱到让我不理解，我们两点去吃的，一共就四五桌，连我在内三桌锅底忘下单or厨师没看到or？？？？！？？？？点的菜到下单就少了…,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Neutral
336,味道一般，价格不便宜……肥肠好吃,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
337,味道不错没有成都正宗  价位贵的很,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
339,还挺贵的...,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned
343,味道还可以吧。点的中辣也非常辣了，太辣有点苦味，和海底捞有一定的差别。不是光辣就好吃，得鲜辣才好吃。再有就是味道太重，屋里换气不好，衣服都是特浓的味道，回家得换衣服。,Not Mentioned,Not Mentioned,Not Mentioned,Negative,Neutral
346,和同事约了很久终于来了，五点过一点就有个人先到占位置 不然晚一点就需要等位了。大厅里座位挨得很近，环境有些嘈杂。菜品价格偏高，但是质量还是不错的。油碟建议慎点，真的好油，未必吃得习惯。锅很大煮东西也很快。酒水比较贵。,Not Mentioned,Positive,Negative,Negative,Not Mentioned
347,来之前看大众点评里的评论，很多人都说失望，不好吃，同事也说口味一般，所以也是抱着踩雷的心去尝尝。有的小伙伴说没有成都的好吃，我不知道说这话的人到底多会吃也不知道是不是在吹嘘自己去过的地方多，还是说店家听取了大家的意见进行了改良，味道还是不错的，至少我很少蘸料，基本都是辣锅涮完之后直接吃，不足的是麻油太腻了，不香，不加耗油和糖，根本进不去嘴。菜价和大家反应的一样，偏贵，两个人花了将近400，在重庆能吃两顿了！小酥肉是我吃过最贵量最少的，好在比较好吃。,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative
352,吃顿饭都不让人吃开心了，点了三份肉只上了两份，问服务员说还没上齐，快吃完的时候再问说是已经上过了。。。吃个饭谁还会多讹你一盘肉么？？？很无语。。。去吃火锅的朋友等菜上全了核对完了再动筷子，下锅了可就说不清楚了！！！,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Not Mentioned
355,菜量少，服务差，毛病多，味道一般,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Negative
356,还不错，就是人多，排好久啦啦啦啦啦,Not Mentioned,Negative,Not Mentioned,Negative,Not Mentioned
363,不好吃 还贵 除了服务态度 和浮夸的装修 没有值得花钱的地方 那个玫瑰园子 哈哈哈哈哈 真的很奇怪 想试试的尽管试好了 他家味道真的不ok,Not Mentioned,Negative,Negative,Negative,Negative
367,味道差远了，不建议去除了辣没有任何特色,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
368,人均价位高，凉菜味道不大好吃，除了装修有些特色,Not Mentioned,Not Mentioned,Negative,Positive,Neutral
369,假期在成都吃了一次！非常想念这个味道！但是貌似大连的这家和成都的不太一样！二度辣觉得不怎么辣，酥肉也不太正宗，还点了西施肥牛，莴笋分量有点少哦，鸭血颜色很鲜艳，虾滑还是不错滴，朋友很喜欢吃虾滑。性价比没有成都的高！怎么感觉比成都的贵呢！,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
372,真心辣，价位我觉得稍高吧，两个人花了三百多。服务态度挺好。,Not Mentioned,Positive,Negative,Not Mentioned,Not Mentioned
376,成都的老味道，但是价格偏贵，上菜速度快，锅底非常棒，菜量不大，两个人之前点三份肉菜，一份主食,Not Mentioned,Positive,Negative,Not Mentioned,Positive
383,价格对比成都翻了一番，但是食材一样新鲜，需等位,Not Mentioned,Neutral,Negative,Not Mentioned,Not Mentioned
384,"首先先说我们是乘兴而来，败兴而归。本来以为在大连能吃到小龙坎是件开心的事，不辞辛苦的赶来且等了20桌，等到的竟是失望。
相信大部分顾客是在成都体会过小龙坎的火爆和美味才愿意在大连选择小龙坎。
第一次吸引顾客的应该就是品牌，之后要想留住顾客的无非是味道品质和服务，下面就说此次消费的失望之处。
1.味道篇
我们点的是牛油锅，且不说你用料是否考究，零零星星的几个麻椒，特别薄的牛油层，我都怀疑是不是上错锅底了，想确认一下但是几乎无人理，唯一理了我们的服务员给我们的答复竟然是她没有吃过牛油锅底，要找别人来确认，后面这事竟然就这样过去了。
成都吃的小龙坎  甚至不知名的火锅都具备一个品质就是“麻辣鲜香”，可这个小龙坎给我的味觉就是咸，把并不便宜且缺斤少两的牛油都换成咸盐了吧？！
2.品质篇
经与收银员确认这家是加盟店，也怪不得是这样的品质，店内服务管理人员听到建议竟然理直气壮的答复和成都用料一模一样，你真得是睁着眼睛说瞎话，且看我下图的对比，成都的牛油锅是什么颜色（最后一图），你这家又是什么样，品质不行是没有回头客的。
3.服务篇
真的是很久没有这么认真写评价了，因为真的是很生气很失望。服务一般",Not Mentioned,Negative,Negative,Not Mentioned,Negative
385,挺贵，味道不错,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
386,还是比较正宗的四川火锅，价格真心不便宜，但是品质非常好，还是值得品尝的！！！,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
387,价位有点高，服务可以，整体感受还不错，比较有特色，但推荐的猪脑不好吃。,Not Mentioned,Positive,Negative,Not Mentioned,Neutral
389,慕名而来，曾经被成都小龙坎人山人海的场面惊到了，这次在大连尝试一下！首先说说菜品，量大口味纯正，特别是胶原肥牛、牛肉粒跟霸王牛肉！好吃的不要不要的！血受啊！毛肚、鸭肠、酥肉中规中矩。菜品68折不包括锅底跟饮品，价位适中。其次说说服务，下午2点多来吃，本身店里客人没多少人，但进店坐下过了好久才有人招待，瞬间感觉被遗忘了，点菜过程中没人介绍，不知道该点什么，只能凭菜名儿自己猜，菜品上的还比较及时。离开服务员也没问，据说当天有2桌逃单的我也是醉了（别问我怎么知道的 一群服务员就在我们这桌旁边“开会”）。总体菜品口味满分??，服务稍差！,Not Mentioned,Negative,Neutral,Not Mentioned,Positive
391,太难吃了，假的小龙坎，骗子吧，和成都的简直差别太大了,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
394,装修风格古香古色，没有吃过正宗的，但个人觉得这个店的肉一般，价格偏贵，仅代表个人观点。可能是吃饭的时间，我们自己看着点菜的，没有服务员做推荐。猪颈肉好吃，肉嫩，里面有一点甜甜的感觉，鸭血也比较嫩。红糖糍粑也挺好吃，其他的肉不知道为什么，看起来挺薄，涮完以后很厚，切片太大，咬起来比较费劲。吃的时候我很想问服务员要把吃烤肉的那种剪刀把肉剪成小块,Not Mentioned,Neutral,Negative,Positive,Neutral
396,味道不错，停车位太少，性价比稍低，够辣,Not Mentioned,Negative,Negative,Not Mentioned,Positive
397,芝麻酱特别的难吃。兑水兑的太多了,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
398,肉类薄到死  一点都不方便  这边小龙坎真的一点性价比都没有,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative
400,不好吃服务员什么都不懂还有要点什么都不给,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Negative
404,网红店，跟想象的味道差挺多，不推荐,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
408,太贵了，两个人没咋吃就300多了,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned
409,比成都的贵很多,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Not Mentioned
411,菜品一般，没有太多特色。最关键是服务巨可怕，我还是倾向渝香,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Neutral
415,真的太不正宗了，很油腻，服务态度一般,Not Mentioned,Neutral,Not Mentioned,Not Mentioned,Negative
416,这是我吃重庆火锅最不好的一次。,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
417,菜太贵了，花丁4，5百还吃不饱，比成都小龙坎差远喽,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative
418,羊肉片切的太薄了，一涮就没了。,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Negative
420,环境很好，吃饭点人特别多，一定要提前来排队，要不然根本吃不上饭，服务还可以，没有说的那么差，还有变脸的表演，挺好看的，味道跟成都的味道真的很像，但是价格都快赶上成都的二倍了，属实有点贵，但是味道各方面还是可以的，值得去吃一次，我觉得是大连最好吃的火锅,Not Mentioned,Positive,Negative,Positive,Positive
422,性价比不高……主要是味道确实一般 感觉并不像是正宗的小龙坎……,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Neutral
423,很好吃，就是总得排队,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Positive
424,火锅中价格相对较高，但食材都是非常地道，,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
426,两人花三百多  贵 没觉得好吃  油特别大,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Negative
429,愤怒的一餐。●服务员对菜单对到一半跑了●锅底上错，等换锅底等了二十多分钟●没有自助调料，询问服务员，一会说小龙坎连锁店只有这一种调料，一会说因为地区差异没有芝麻酱，一会说我们吃饭吃的太早了厨房没有准备??那为什么点菜的时候不说明呢●菜品不正宗。麻辣牛肉没什么辣椒，红糖糍粑的黄豆粉也不知道哪里去了，小酥肉可以叫农家炸酥肉了。吃过其他城市正宗的小龙坎的人，可以说非常非常失望了。不会再来第二次。,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Neutral
432,有点太辣了，油烟味道太重太熏，,Not Mentioned,Not Mentioned,Not Mentioned,Negative,Neutral
433,好吃，但是比成都当地吃要贵很多。基本三个人不买代金券得400元。,Not Mentioned,Not Mentioned,Negative,Not Mentioned,Positive
438,成都好吃到爆的小龙坎来到大连了 满心欢喜的跑去解馋 没想到品味如此之差 没有成都小龙坎火锅的韵味 味道差太多 菜品也不行 酥肉裹面炸的像街边鸡肉小串 而且竟然还有好多块大肥肉 问其领班人员 竟然说 他家的酥肉就是有肥有瘦 肥瘦相间的 处理问题也不积极主动 一味推脱 吃过那么多的火锅 头一次头说酥肉还有肥有瘦 笑话！大连点不是连锁店 是加盟店 比起成都的小龙坎 连一成都不到 差评！！！,Not Mentioned,Negative,Not Mentioned,Not Mentioned,Negative
440,住在附近酒店 老能看到饭点儿的时候等位的人特别多 临走前去尝试了一下 首先就是贵 图二左上角那盘牛肉就48（还是58来着 记不清了）就薄薄一层 四个人一人一筷子就没了  别的菜品价格也基本都如此 但能吃出来食材品质都不错 要是食肉动物去一定要有个充分的心理准备,Not Mentioned,Neutral,Negative,Not Mentioned,Positive
