编号,发帖人_编号,题目,题目字数,内容,内容字数,昵称,车系,地点,时间间隔,空间密度,空间评分,动力密度,动力评分,操控密度,操控评分,能耗密度,能耗评分,舒适性密度,舒适性评分,外观密度,外观评分,内饰密度,内饰评分,性价比密度,性价比评分,视频数,上下班,购物,接送小孩,自驾游,跑长途,商务差旅,越野,约会,赛车,拉货,网约车,组车队,改装玩车,支持,浏览,评论,里程值,精华帖,主贴,关注,粉丝,车辆匹配
25,6709160,开着、坐着都是奔驰！,10,科技先进、外观漂亮。轮毂不美丽。??????????????????。3.0的双涡轮增压发动机，动力决对的够用了，虽然不是高功率的，但是我认为差不了哪去！。还没有怎么开，暂时没有资格说话。新车，油耗多少都有，百公里20、10、7.3都有首先油箱是70升的，小了，80升就好了，原先的E300L是80的升的，一箱油可以跑780公里左右，现。后排座椅可以动的，非常喜欢！。美丽大方。做工是我看见的最精细、高档的了，因为我也没开过宾利。自己喜欢就好，哈哈哈！没有性价比的说法！。740、奥迪A8,244,1,奔驰S级,沈阳?,33 ,18,5,42,5,15,4,74,4,14,5,4,5,25,5,20,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25133,3,7130,0,2,47,57,1
26,8044256,第一辆奔驰的车S350L,12,商务稳重，外观大气，后排舒适，动力不错。换挡稍有顿挫感，启动噪音大。空间绝对够用，特别是后排，还是比较舒适。3.0T，300多匹的动力是足够用了。起步稳重，加速有劲。市区15-18个油，高速比较省，大约7-8个油。后排很舒适，开宝马坐奔驰是有道理的。稳重大气，经典立标。超爱大屏。优惠4万，还送一些精品，摇到号，有现车就尽快提了。当时有三个选择：宝马740 雷克萨斯LS500H 奔驰S350 ，喜欢这个大屏，奔驰更商务一些，而且宝马和雷克萨斯开过其他系列，换个全新的品牌尝试,238,1,奔驰S级,北京?,11 ,19,4,18,5,9,5,23,5,17,5,9,5,4,5,24,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,26099,2,3650,0,1,3,3,1
27,31227988,这才叫车！,5,操控 高速表现 油耗 车是在湖北买用车在河南 刚买完就跑了四百公里高速 一口跑下来并不感觉到累。也不能算不满意吧 驾驶辅助系统 刚买完车在高速上变道突然车辆自己把车拽回来原车道 可能是雷达太灵敏 检测到后方有车辆 但是我看后视镜还有好远 反正是把我吓一跳。看照片 本人180。新车 舍不得很踩油门 官方百公里五秒多 过了首保必须要刺激一次。非专业人员 不好做出评价 反正我开着是挺爽。目前500公里15.3 3.0V6双涡轮增压这个油耗很惊喜 惊喜可能是以前开的都是二十多个油的车。开宝马坐奔驰 这是多少年前都有的口碑！！ 舒适性毋庸置疑 摸着方向盘就兴奋 坐在后排就犯困！。20寸AMG大轮毂谁看谁知道。。奔驰的这两个大屏幕简直无敌，要是能有触摸功能就更完美了。。一辆行走的人民币！。没有理由 ，从小就有一个奔驰梦！提车前一天晚上喝多了，第二天晕晕乎乎就坐着高铁去了 ，整一天都属于懵逼状态，一切手续都是工作人员替我在办，自己就躺在沙发上醒酒，一直到晚上酒醒，手续办完才反应过来，我滴妈耶！买奔驰了！梦想实现了！！！！！,461,1,奔驰S级,武汉?,23 ,9,5,31,4,21,4,48,5,46,5,15,5,28,5,9,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,53160,10,1360,0,0,5,1,0
28,64893907,就是觉得奔驰比宝马强,10,开起来不颠簸，很舒适。没什么不满意的。舒服，真的很舒服，比我x3软和多了，如大板凳换了沙发你说开心不开心。特意选了3.0的，动力好而且没啥噪声。车虽然大但是开起来的感觉不累。还可以吧，我不太走拥堵的地段，油耗目前12左右。买这个车就是看中了舒适性。高端大气上档次，低调奢华有内涵。科技感十足，就喜欢这个范。价格越低越有性价比，别的就不谈了，买这个车主要目的就是为了家用商用，还是很舒服的，努力一下，以后继续上。原本打算买gls的，后来销售推荐s级，就试了一下发现这车真的很不错,238,1,奔驰S级,南京?,8 ,33,5,18,5,14,5,23,4,12,5,15,5,12,5,51,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,18017,3,640,0,2,2,5,1
29,8732957,s320轻混,6,内饰最美没有之一！。800公里油表不显示检测说要换油箱……后开又自己好了。2档升3档明显顿挫，4缸噪声大，颠簸路面避震处理很一般。后排不能调节……。空间绝对够用。不追求激烈驾驶够用。可能动力比较低吧。升档不积极降档比较积极。。还可以吧，掉头比较方便。。高速7个左右，市区12左右。空间这个级别没的说，就是后排取消了座位调节。三道杠就是帅，比老款精神很多。。大屏氛围灯最爱！。性价比很一般，但喜欢奔驰没办法。喜欢内饰a87系压根没看,215,1,奔驰S级,杭州?,41 ,6,4,31,3,12,4,13,5,21,4,15,5,8,4,15,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,121,214995,50,11600,0,6,35,31,0
31,28233294,2019款S350尊贵版提车10天使用感受,21,车子外豪华观稳重大气，车子那么大没。暂时未发现。乘坐空间：空间满意前排调好坐姿后排空间非常宽裕舒适性非常棒。动力平顺性：这么大的车开着很顺手，没有开大车的感觉操控非常轻盈。方向盘操控感：方向很轻手感很稳路感很明确桃木方向盘豪华大气。新车在磨合期油耗在范围内城市道路行驶：新车在磨合期油耗在范围内，目前油耗在14个有左右。座椅设计和用料太舒适了。整体做工很好毕竟是百年工艺汽车的领导者外观感受：车身外观大气符合商务洽谈，线条优美豪华感十足。内饰材质：内饰做工精致用料厚道 ，室内新车味道在接受范围内，新车目前暂未遇到一项情况。故障：新车现在已行驶300公里左右暂时未遇到车辆故障。豪华大气,293,1,奔驰S级,临沂?,19 ,29,5,31,5,29,5,43,5,11,5,46,5,42,5,26,3,0,1,0,1,1,0,1,0,0,0,0,0,0,0,32,55447,12,9230,0,2,8,11,1
32,7985060,S350L豪华版19款祖母绿终于提车啦,19,"外观,颜色,内饰,舒适性。前排驾驶座没有座椅记忆功能,。D级车空间当然是完全OK的啦。动力完全没得说,GOOD。操控力度非常恰到好处,操控也精准。刚提车,还不知道油耗。之前开的是C300L 运动版,S350L相比起来,确实没得说,安静,线性,舒适,。本来订的是黑色,4S的销售是我的潮汕老乡,店里有先到了台祖母绿的19款的,说这个颜色非常漂亮稀有,先为我预留了下来,实车到店,过去看了实车,简直完美,强光下显宝石绿颜色,艳而不浮华,高端大气,光线弱的情况下,呈现出类似黑色,完全符合我的审美要求,所以直接就锁定下来了,。一贯的做工,一贯的完美,。觉得350 在整个S里面,性价比是最优的,S320就没必要了,S450发动机一样的,只是调教功率不同罢了。男人应该有的车",333,1,奔驰S级,深圳?,28 ,14,5,12,4,16,5,10,4,40,5,134,5,12,5,52,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,49,151660,63,3100,0,1,33,45,0
33,6588049,奔驰s450l,7,外观amg运动套件很时尚运动，我们三十岁左右的年轻人开着不像司机了。内饰绝对d级车标杆。。落地一百五十万的车前排不配座椅通风，记忆真的无法理解。很多主动安全配置都减配了。s450l没有畅心醒神。配置真的有点坑爹。。空间就不用多说啦。接近五米三的d级行政轿车无论坐哪个位置都是可以翘起二郎腿的。黑外棕内真是让人陶醉。乘坐空间：身高176体重140，空间就不用多说啦。五米三的d级行政轿车大家都懂的。。新车没激烈驾驶，试乘的时候销售展示过。轻松160。已经足够了，零到百公里加速不到六秒，已经比很多性能小钢炮强了。加速也不是它的强项。开上s一点想激烈驾驶的欲望都没有，坐进去就会觉得自己是个绅士。。五米三的车身长度操控就没什么好谈的了。。才行驶两百公里，基本市区走走停停，油耗16升百公里。9速跑高速应该是很省油的。过年跑一下看看。。坐奔驰，开宝马，舒适性也无需多讲啦。坐老板座上就会想睡觉，会上瘾。安静，平稳。座椅把整个人托住，躺在头枕上。真的会让人很放松。。就是冲着外观amg运动套件买的，加上全新的LED车灯，三道杠大队长，帅到没朋友啊。真的是商务接待，泡妞约炮必备良车啊。。内饰在这个级别暂时没有对手，游艇式的环绕内饰，64色氛围灯。晚上无论男女老少真的都无法抵抗。春节过后把高音头换成旋转高音头完美了。手感材质：摸到的地方基本都是真皮，唯一不好车顶是黑色织物，这么贵的车就不能整个翻毛皮。难以理解。。本来预算160，买新款s就不谈性价比了，没有优惠。配置跟宝马7，奥迪8，雷克萨斯ls比一点可比性没有，前排通风记忆没有真的有点没办法忍。后排老板座没有腿托，春节过后都得加装，奔驰原厂改装件都贵的离谱，奔驰零整比大家都知道，询了一遍价格，改下来差不多要六万。钱还是小事，座椅要被拆的面目全非。没办法，最终没怎么犹豫还是选择了它，谁叫它是梅菜得死呢。就是买它的气场。国人对奔驰文化的一种信仰。。本来想要买揽胜行政，把五年前买的路虎神2卖掉，揽胜换代，平行进口年前没车。买了新车过完年就变老款无奈放弃，帕纳梅拉，听说异响，选配坑爹，等车周期长，舒适性不好无奈放弃。从未考虑过s，s给我的印象就是商务接待车，必需配司机才行。第一眼看见带了amg运动套件的450确实吸引了我。大气，沉稳的同时，带了amg套件的车头又显得运动时尚，三十出头的年纪穿上西装梳着油头开它简直绝配，戴上鸭舌帽一身休闲装也绝对能够驾驭。内饰就不用多说了，无可争议的豪华，舒适。没考虑太多把s买了，路虎神2留着跑烂路，玩路亚用。,1048,1,奔驰S级,宜昌?,38 ,91,5,97,5,19,4,47,4,63,5,59,5,113,5,194,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,176,364534,79,15150,0,7,12,42,1
34,35461072,终于找到一款自己喜欢的车！我要一直开下去！直到报废！,26,豪华内饰，舒适，品牌！空间！。后排一开空调，驾驶员右侧扶手箱就会有电机运转的声音，东北天气，零下时，刹车有尖锐的刺耳声，问了4s，正常原因，是材质问题，不影响刹车系统，现在已经听习惯了，冬天还容易排气管冻住，国内油不好，在排气管处钻了两个眼，问题解决！希望奔驰针对东北地区排气管有所改进！。我174 空间够用，平时都是自己开，偶尔拉着家人！乘坐空间：乘坐空间绝对够用，后排更舒适！尤其头枕！。动力足够了，跑高速，最快一次跑了220，其实还能加速，只是感觉自己没活够，不想走的那么早！。遥控挺好，之前开的是丰田霸道，几乎没有遥控，一下突然开这么好的车，感觉非常好。没开过宾利劳斯莱斯等豪车，所以也不知道什么叫最好的遥控！。市区18，高速8.8左右吧！磨合期不准确！城市路段表现：我住县城，非常小的县城，油耗20百公里，我也是无语了，跑不起来的时候是真费油！高速路段表现：高速可以，本人不激烈驾驶，开着感觉稳重，像开着船，刹车系统也相对敏感，刹车有自信！横向对比：宝马方向盘更轻一些，奔驰的稍微有一丢丢沉，但是我更喜欢沉一点的！个人喜好不同！请见谅！。舒适非常好！走土道，走高速，都非常舒服，父母坐在后排说坐着舒服的时候，我也非常开心！。稳重！立标，我喜欢！。内饰最喜欢，氛围灯晚上很炫目，尤其是粉色，很骚气！没觉得宾利 劳斯莱斯内饰哪里好，我最喜欢的是屏幕设计和氛围灯。异味异响：新车味道不大，完全可以接受，强制加装的香氛系统也挺好的。价格再便宜点就好了！！！奔驰优惠太小，不像宝马奥迪优惠幅度大！期待的配置：期待座椅通风，方向盘加热能够有！车载wifi赠送流量多一点，100万多花了，你还这么扣，就赠1g流量，有点说不过去了！鸡肋配置：最不实用的是换挡拨片吧，基本没用过！也不会用，后排空调也很少开，一开后排空调，驾驶员右侧扶手箱里嗡嗡响的闹心！噪音太大！选装配置：强制选装了，香氛系统！买但这个功能挺好的！标配配置：倒车时，自动刹车非常好，我经历过三次倒车时遇到障碍物自动刹车的情况，第一次吓一跳，车突然停住了！后期知道后也就适应了！前方主动刹车不知有没有，一直没遇到过前方的，但是倒车确实有！。宝马740，奥迪a8，同级别，个人觉得740内饰，跟s无法比，真的，一个豪华，一个超级豪华。反正对我来说是这么认为的，当然萝卜白菜各有所爱！听说奥迪a8烧机油，跟a6太像了，这个级别的车，无非要的是面子，听说a8后期维修比奔驰还贵！奥迪销售也太牛，我不太重视自己外表，可能看我20多岁，穿着普通就不太爱搭理我！我问价格奥迪价格能不能便宜点，她回答了一句如果差钱的话就没办法了 我差点噎到！对奥迪可能是暂时没缘分！如果奥迪和宝马选的话，我会选宝马！奥迪车好，还是四驱，但烧机油和后排保养绝对是个问题！,1148,1,奔驰S级,大庆?,98 ,50,5,45,5,67,5,163,5,42,5,10,5,88,5,281,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,163,358009,70,3170,0,0,5,6,0
35,9085635,18S350L用车简析,11,悬挂舒适、空间宽敞、辅助功能多让用车更轻松。外观我选了炭灰蓝的车漆，越看越满意，但是水果手机拍出来并不感觉明显，有点像黑色。。有一两处异响，但也都不是大问题，都是后面能解决的。前排配置太低，真的让我这种两三个人都在用车的人很难接受。每次上车都要调整位置、又没有通风、还没方向盘加热……为了这设计，我只能忍了。。非常宽敞，感觉完全够用，因为还要照顾家用，就没必要太长了，我觉得空间这是完美之选。前排储物空间有点少，主要就是手机没地方放……。3.0t六缸的机头，日常使用完全没问题，配合九速变速箱行驶平稳。3-4档有顿挫，但对于我这种开惯了糙车的人简直可以忽略不计。。得益于地盘调教吧，没有开5.2米大车的感觉，在市区开起来很轻松，高速很平顺，过弯完全不像是一台奔驰，感觉地盘很扎实，给人信心很足。。可能是新车的原因，1300公里一半市区一半高速，有好在13.5左右。。这个没得说，反正后排能找到你喜欢的姿势，但前排配置稍微少了一点……没有记忆、没有通风，有点想不明白。空调没的说，有种空气与外部隔绝的感觉，车内的空气加上香薰以及合适的座椅舒适性，让乘坐变成了享受。。整体外观很满意，大气、优雅不失稳重。唯一就是轮毂的确有点难看。车头设计很赞，特别前大灯，又好看功能又强大，简直无可挑剔。双边双出排气很大气，其实是每个镀铬排气管里面都是两个排气筒，相当于双边四出，可能考虑到这个车的用处，化繁为简成了双边双出。车灯设计：车灯简直就是无敌的存在，各种功能各位可以看测评，我就不做详细介绍。我只能说亮度绝对爆表，夜晚开高速再也没有摸黑开车的感觉。。这内饰设计是让我选择的最重要原因。特别是氛围灯，绝对的没有能够媲美的对手。整体配置丰富、动力够用、变速箱高级，底盘悬挂明显能感觉到用料上乘、调教合理。但这种级别的车说性价比我感觉没价值。而且没有任何优惠，相比较7系的85折、A8的7折，肯定性价比显得就没那么拿的出手。不过喜欢就是性价比。期待的配置：期待的配置啊一大堆，而且真心是感觉不应该缺失的：1、前排座椅记忆，2、前排座椅通风，3、车顶内衬最好是反毛皮，4、大气优雅一点的轮毂，5、方向盘加热。哪天我看论坛有朋友在说没有空挡滑行功能，我一开始都以为没有，但是在节油模式下就有空挡滑行功能。鸡肋配置：自动倒车唯一的问题就是自动寻找车位不是太好用，但是找到了车位自动泊车还是很不错。。家里有牧马人、奥迪和一个商务车T5，但没有一台D级轿车，所以综合考虑，S是这个级别的不二之选。选择350L因为配置丰富，我们南方也没必要用四驱。,1060,1,奔驰S级,成都?,10 ,63,5,62,5,65,5,34,4,98,5,187,4,36,5,280,5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,145,364961,72,7950,0,10,9,39,1
36,23429566,人生的第二辆车！还年轻！继续努力挣钱！！,20,开着舒适度很好。13.2寸大屏真的上档次。氛围灯特别好。64种颜色。可以随意调节。。没有标配柏林之声。还是后期加配的。还加配了一套高音旋转喇叭。一套下来4.5万。哎。都是血汗钱呀。。非常的宽敞！！后排空间很大。比我以前那款行政版的S80还大。真不愧是车长5.2米。。南山的车库根本就进不去。。以后还得为这个车买个车库或者建个车库。。。动力还可以吧。毕竟3.0的。马力一般，但是在我们这小城市够用。9速的。加油的时候很平顺。没有任何的颤抖。一开始的用车是沃尔沃S80.加油快了很抖。。操控很好。这个车比较适合坐！坐在后排有种老板的风范。虽然不是老板。但是希望往老板这个职位多走近一些。只有不懈的努力才会过的好。。油耗是还可以吧。目前比我以前的s80少一点。已经很知足了。我们这个城市也不是特别的堵车。买车就是用的。买车能不废油吗！使劲挣钱才是王道。。这样的轿车确实比SUV舒适，差的不是一星半点的。内饰也比之前看的GLE好的太多。真皮米色座椅也是看着挺上档次的。就是不太耐脏。还好我是干净人。哈哈。真的很漂亮。大灯三条杠俗称大队长。出去开着真的很拉风。车身的流线也特别的不错。车漆应该是耀岩黑。不过贴完车衣更亮了。想不明白车衣为啥这么贵。但是仔细网上看看以后。在听别人讲了一下。还是原车漆比较重要。车都买了。真的不差那全身车衣了。车灯设计：车灯做的真的很完美。三条杠。晚上一看灯就知道是奔驰S级车。双闪做的也是很不错的。以前特别喜欢疝气灯。觉得宝马的灯做的很好。但是仔细了解以后才觉得。真的是LED灯才是潮流。不管是白天晚上。开着特别的好看。回头率很高。。内饰没有标配柏林之声，没有标配高音的喇叭。我还是后期加的。好贵这个音箱。不过用着真的是两个档次。以前觉得哈曼卡顿很好。听了以后。哈曼卡顿真的没法比。氛围灯也是提升了不少。64种颜色的。可以自己调喜欢的颜色。香氛系统是买车的时候必须要带的4400多的一个组件。不过用着真心不错。开空调的时候有着那种香的味道感觉真不错。还不是很刺鼻。仪表中控：13.2寸大屏真的不错。跟我以前沃尔沃S80比。真的牛的不是一星半点。以前的s80屏幕真的是太小了。这个S做的是一体式的大屏幕。看着就很上档次。。没有性价比可言。只要自己喜欢的东西。在能力范围内一定会买。努力挣钱才是王道。期待的配置：我觉得奔驰S级车。最好是标配柏林之声。哪怕价格稍微贵一点。也是可以接受的。。一开始准备买GLE450.但是SUV的内饰真的比这辆车差很远。这辆车外观大气！GLE就是我2019年11月的目标。,1059,0,奔驰S级,烟台?,35 ,75,5,73,5,63,5,68,5,73,5,228,5,242,5,81,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,115,416710,38,4700,0,4,7,16,1
37,34707755,奔驰S级2018款S450L4MATIC卓越特别版,25,最满意的当然是奔驰的内饰，还有悬挂，以及后排的舒适性，我比较注重内在。。说实话操控确实不如宝马，平时也经常开朋友的宝马七系，操控真棒！最让我不满意的就是后备箱质量问题！！！经常出现关不上的情况！！！ 网上查了下，这批车普遍有这种情况 ，目前已经反馈一个半月仍然没有解决！！！售后一直在说已经给德国总部反馈，等待他们的回复，国内没有配件，需要从德国邮寄过来，目前感觉还是遥遥无期！希望有高人指点，消费者怎么维权！！！。这个级别的车空间没得说，不做过多评价了，绝对是够用的。。3.0的车动力够用了，切换到运动模式，推背感很强烈。。目前我自己开，操控个人感觉不喜欢，感觉方向盘比较沉，可能这个车也不想让司机激烈驾驶吧。。买这个级别的车我感觉没有几个在乎油耗的吧，没算过油耗，没油了就去加油。。后排的乘坐舒适性确定不错，坐上去只想睡觉，平时会让朋友开，自己坐后面享受一下。。个人觉得商务车，外观就这样吧，年龄大的人可能对外观没那么在乎。。奔驰的内饰我觉得是最打动我的购买欲望， 中控真的非常漂亮。。如果没有后备箱这个质量问题，性价比还是不错的，但是花100多万天天被这该死的后备箱折磨死了，家里2个孩子，大的五岁，小的4个多月，出门后备箱必备小车，现在这个后备箱我都不敢开了，经常在路上开了就关不上，现在都不敢带孩子出去玩了，这奔驰真让我伤透心了。。买车时候，宝马7系（朋友买了，不想买一样的） 保时捷帕拉梅拉（个人感觉不够商务，再年轻一点就选了） 奔驰S （目前最适合我，商务用途比较多）,641,1,奔驰S级,郑州?,113 ,27,5,26,4,43,3,35,4,39,5,31,4,29,5,125,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,18,45954,13,5260,0,0,3,4,1
38,1046457,350随记,5,内饰。降税前买的。D级车的空间就不用怀疑了。后备箱不大。。还可以吧，马力这东西就像存款，没有人嫌多。每个人的体会不同，我觉得D级车肯定要开稳点。市区显示20、高速9左右、长期显示12.8。D级车的舒适性不用怀疑噪音控制：发动机噪音大了点，坐在车里会明显听到发动机的声音。空调：空调制冷不错，起码大热天凉的很快。为什么非要凑满20个字？行驶舒适性：换了19轮毂舒适性肯定没18的好。为什么非要20个字座椅舒适性：舒适性还可以、但是前排腰部支撑不到位。为什么要20个字。。除了18寸轮毂、其它满意。满意手感材质：用料没740好，为什么要20个字的描述？异味异响：异味很大、至今还有、一度以为买了假S级。。在A8和7系面前就不要提性价比了。并且我是降税前买的！！！买车的时候预算就是裸车100左右底线110，但是选配完113.8，而且没折扣，4S当时对我说：全款提车加两万装潢，贷款不用加。我选择了贷款，贷了50万，手续费和上牌费还有利息算下来要4万多，真TM黑，我们这边上牌费要3千多而且几家店统一的（自己上牌就125块）几年前因为上牌费和GLK擦肩而过，没想到现在还是逃不掉，问候你全家。选装配置：选装原厂前排座椅通风、驾驶辅助，选装等半年。对了、后来又在外面加装了胎压监测、驾驶位记忆驾驶位通风、后来加了记忆鸡肋配置：后排娱乐吧，也就女儿坐车会看动画片，完全可以拿iPad代替。期待的配置：前后排座椅按摩、前排储物空间能多一点、中央扶手箱能深一点、大一点吐槽：奔驰对前排配置方面真的很抠，或许奔驰觉得买S的都会请司机吧。。气场,663,1,奔驰S级,南通?,155 ,19,5,20,4,21,4,21,3,139,5,12,5,52,5,360,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,5,27532,2,8280,1,39,68,73,0
39,10691887,红宝石黑新款奔驰S450，用车感受。,18,外观前脸较旧款有了很大的变化，更加饱满。舒适型绝对是最佳的，特别是后排空间真的很大。新款用的音响音质也很好，最重要的就是操控性一流。4驱车，冬天下雪跑起来放心。。身为S级轿车居然没有座椅通风，这是最大的吐槽点。另外就是选的内饰颜色有点不耐脏（这个不能怪车????）。。刚才也提到了，空间真的是很大。后排空间简直享受，身高175cm坐下来，大概能留出4-5个拳头的距离，跷二郎腿都问题。。新款的S450采用3.0T的发动机，动力还是相当可以的，只要舍得踩油门，起步加速相当快，路上超车比较轻松。。因为比较业余，谈不上什么专业的用车感受，总体来说，操控性一流。。车是17年九月二十几号提的车，当时改款后的车刚刚上市。现在用车快一年了，行驶里程11000，跑的不是很多，平均油耗行车电脑显示12.2。因为平时在县里开的多，跑的城乡路比较多，所以显示油耗低点。相对于这么重的车身，这种级别的轿车油耗表现相当可以。。根据乘坐人的反馈，坐在车里很舒适，座椅也比较软。。这一代车的外观最大的变化就是前格栅跟大灯。前格栅变为双层，显的车的前脸比较饱满。大灯改为三条杠，从大灯就能直观的分出SEC。。内饰最满意的是工作台跟车内氛围灯。两块液晶大屏连在一起，但是不是一块。按键也简单，显得格外的简约高贵大气。车内的氛围灯到了晚上效果才最棒。音质效果肯定不用都讲了，顶级。图片都是手机拍摄，水平有限，希望大家多多包涵。???。买车的时候因为刚上市，所以优惠根本没得谈，总体来说性价比一般。。生意需要,638,1,奔驰S级,长治?,354 ,58,5,53,5,31,5,123,5,24,5,62,5,110,5,31,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,16,52279,4,2150,0,2,3,3,0
40,56049847,2018款s350使用体验,13,豪华，同价位豪华感无车能出其右。行驶高级感好，车内隔音好。车子大气稳重，适合商务用车。车子灵活好开，别看个头不小，但是车子还挺灵活。。别看都100万了，新车还是有股味，开了几天后味道淡一些。配置没同价位的宝马高，朋友的740也是108万的样子，带四驱也。没配备胎，虽然漏气保用胎爆胎后可以继续行驶几十公里，但是还没有备胎踏实，成本也高一些。。空间大得很，姚明坐估计都没问题，就是中央扶手的空间很小，只够放点发票。前排后排。起步感觉没之前开过的S400快，之后还是可以，发动机声音好听。发动机仓除了隔音棉还有一块隔热的，机仓十分规整。机仓机盖发动机。开起高级感好，车子灵活，减震滤震效果很好，过坑洼车子也不会很颠。。还行，表显高速10升，综合14升。高速综合高速。这个是奔驰的强行，开宝马，坐奔驰。绝对拿手。带头枕的座椅，可以调整的角度很多。柏林之声电动窗帘。做工扎实，缝隙均匀，细节处理好。雨刷，前风挡玻璃上有个外国人签名大队长车灯羽翼式尾灯。高级感强，感觉比某些更贵的车高级感都做得好，奔驰这套内饰是全车精华所在。精致精致精致。优惠少，配置不如同价位其他车，4s比较强势，不愁卖的感觉，交易基本上是跟着4s的节奏走。有头有尾 结束。看上去豪华感强、稳重大气、比宝马商务。,536,1,奔驰S级,重庆?,32 ,39,5,62,4,32,5,23,4,47,5,42,5,42,5,51,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,29,93064,15,49380,2,11,15,46,1
41,36310062,"全款提2018S350,自己奋斗的第一台车！心情无比激动。",29,"该有的功能基本都有了。顶棚用料抵挡，雨刷器感觉抵挡了。。空间非常大，后排两个人最好，三个人中间那个太不好坐了。乘坐空间：我175肯定足够驾驭，后排我还没坐过，改天享受一下。储物空间：后备箱感还好吧，不说特别大，毕竟5.2米的车子。前排手扶箱没空间。。350动力十足，家用跟偶尔招待足够用了。动力平顺性：使用300公里，发现换挡3-4有时候有顿挫感。跑高速：不知道这个车什么时候会自己控制刹车跟方向，突然来一下吓死了，自己双手放开压线又不会控制。。方向盘很轻，开完再回去开我的途观，还以为途观爆胎了。。昨天跑了300公里，其中高速150，城里50二级路限速60的有100公里，平均油耗8.5l/100km，其中二十分钟烂路。今天早上跑机场10公里城里道路，没什么车，五点钟出发的，70公里机场高速，油耗7.4l/100公里。城市路段表现：全城里油耗估计是13L.7/100KM,毕竟车子多，有时候要等两个红灯才能通过。高速路段表现：全高速油耗估计7以内可以的，没开空调前提下，当然跟驾驶员的开车习惯关系很大，所有数据是仪表盘的哦。。细小震动没有什么感觉，都在城里开的，还未上高速，后期体验会继续修改。噪音控制：车内没开音乐，停止状态可以听到发动机声音，朋友说开过上一款的400车内听不到，是不是现款350跟450有差距啊。座椅舒适性：自己网上定制的脚垫双层的感觉太厚了，现在脚垫太少了，以后要买薄的，不然座椅无法下降舒适性不好，有点想把脚垫拆除了。。一如既往的沉稳、大气，回头率非常高哈，上牌验车时候好几个人围着评论新款。车灯设计：前头大灯的三条杠太惹眼了，自动大灯对面来车不用切换远光灯，霸气。。方向盘感觉没上一款两幅的霸气，功能多了很多。车顶头用料感觉没档次。。该有的配置都有了。足够用了，比320多了17万感觉还是值得的，最遗憾的是前排没有通风座椅，自动泊车非常到位，手机遥控泊车很好玩，不过基本用不到，350的无钥匙进入非常方便。期待的配置：4s告诉我能自动驾驶60秒，还不敢试，既然60秒都可以，为什么不一直自动驾驶？。偶尔商务招待。",871,1,奔驰S级,凉山?,12 ,96,4,97,5,26,5,214,5,158,5,73,5,33,4,131,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,165,249532,25,9450,0,18,9,31,1
42,60675265,小改款奔驰S用车感受,10,320后排两个座椅新添加了座椅调节和座椅记忆，还有电吸门很nice，改款的前格栅和大灯很好看，新的64色氛围灯也很好。。这个价格，没有舒适进入得自己加吧，前排的座椅记忆是去掉了吧，不能播放视频MV，方向盘感觉没有之前的款式好看。。空间不用多说，平时也没人坐当时还没拆乘坐空间：身高182，坐前排座椅调合适，头部空间很大吧，大腿有腿撑很nice。储物空间：前排没有什么储物空间，后排中间有一个空间比较大。。动力还是可以的3.0T 272马力，油耗一直在20以上。。新改款之后操控改的很好，还没用运动模式，舒适模式操控就很无敌了。空气悬架很舒服。。现在开了不到200公里，油耗20升往上，顶了。。。。舒适性没话说，轮胎还没换，防爆胎舒适性还是差了点。。新款外观三道杠没话说。大队长。启动瞬间灯会变色从两边打到中间，大灯智能的很好。。奔驰S的内饰豪华感同级别没有可比的吧，加了柏林之声和旋转高音头。。买下落地一百一十多点了，感觉还是贵了点，小改款后加上年前，优惠基本没有。特别想加迈巴赫轮毂，很有气势。。开始去之前从来没关注这个，开始想要740，或者买辆Macan GTS，结果去4S店，当天4S关门了，然后就说服爸妈来这家以后本来看中GLE运动，后来还是觉得空间和内饰不太理想，后来看到展厅的S又有现车就定下了。,554,1,奔驰S级,武汉?,22 ,86,5,28,5,40,5,25,5,25,5,39,5,32,5,51,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,54,104489,17,5270,0,0,6,6,1
