空间评论,空间评分,动力评论,动力评分,操控评论,操控评分,能耗评论,能耗评分,舒适性评论,舒适性评分,外观评论,外观评分,内饰评论,内饰评分,性价比评论,性价比评分
空间后排没问题前排也没问题。座椅带加热。后排带通风，前排选装了通风。氛围灯也很漂亮乘坐空间：车很长但是并不是特别宽。门内侧放水杯，大一点就比较勉强了。后背箱空间是中规中矩，和suv不能比也就是个一般轿车的后备箱而已。乘坐空间仁者见仁你去4ssss坐一下最直接。,5,动力我要说一说。首先3.0双增压动力储备是没有问题。加速也很快也是有效的。但是因为定位不同。我试驾过帕拉梅拉，提速的感觉动力澎湃很有激情。这个你就像开一条快艇忽忽悠悠的也蛮快。盖子打开还是蛮高级的,4,动力可以加速有效，但是谈不上激情也谈不上澎湃。即使把运动模式打开，也只是空气悬架低了几厘米而已。像开一条快艇。我试驾过帕拉梅拉定位不同，感觉完全不一样。年轻点儿或者不商用，帕拉梅拉不解释。 刹车非常好我很满意！既不像帕萨特之类的车那么敏感神经，又非常有效，很有信心。这款车我买到的是固特异轮胎高速胎噪大的很。而且这种车没有配备备胎。刹车表现：刹车非常满意！既不像帕萨特之类的车那么敏感，又不像有些日本车那么疲软。刹车很有信心，每次急刹车都免不了余光从后视镜看看，怕追尾。。。主/被动安全配置：这个车有一个车道偏移的提醒功能建议大家关掉。不然高速变道压实线能把你吓一跳。,4,出4ssss店后，就我一个人驾驶。高速也跑过，跑的不多。屏幕显示百公里油耗目前没有低于过19 单箱油 显示 16左右 油耗这东西是啥就是啥 ，排量在那放着，又是城市为主的综合油耗。 我开过一辆3.5自吸的汉兰达，开了5-6万公里。油耗一般就是15 升 16升。我还有一辆1.6排量手动挡的启辰d50，驱动轮还换了宽一点的轮胎。经常2挡开到八十才换挡，随便开。油耗从未超过10升，一般在7左右徘徊。高速油耗4升多。 供大家参考。不要幻想着大排量大自重低油耗。这应该是总的平均油耗加油后加油前,3,舒适性不用说了，不管是驾驶还是乘坐。高速能把人开瞌睡。空调：空调每个位置都能调节风量，温度。只是有些繁琐。悬架减震舒适性：空气悬挂，铝悬，高级。上个马路牙子记得先升底盘。车内噪音：车内挺安静。高速胎噪比较大。这辆车是固特异轮胎。座椅舒适性：座椅多向调节。妥妥的。建议选装前排通风（后排自带）,5,这个车的线条非常修长很优雅。车的宽度并没有那么夸张不是特别宽。实际使用太宽的话，错车，停车会不方便。这个外观的话和e级很像了.不熟悉的人分不清楚。懂车的人会多看两眼。线条很漂亮这个角度我很喜欢照片是我刚买车时去办etc时照车的身后是办etc的管理部门外观感受：现在这个社会风气很浮躁，物质之上，笑﹉贫~#不笑chang。我开车大多数时间还算比较文明，一般也不会主动去招惹谁。我开我的启辰d50出去，有时候会莫名其妙遭到其他车别我一下，甚至跑曹操专车的网约车司机硬超过去，还恶狠狠地瞪我两眼…… 新开这个车出去，正常的车在附近会注意一下，保持车距。（现在不正常的车或者电动车或者是心态不好的人也多，我还是会注意一点） 我并没有感到什么优越感，甚至感到这个she@hui悲ai可笑。,5,异味异响：新车的味道可以接受，三个月后散的都差不多，或者说我已经习惯了。异响，也许是空气悬挂，也许是涡轮增压，时不时会发出一些响声和震动，我基本上无视。车不熄火，停在一个比较安静的地方，过一会儿会颤一下。就像有人用手把车推了一下一样。多媒体：这个车内自带的导航系统用了一次是可以用的，但是还是不如手机高某地图来的爽。内饰材质：内饰材质不必说了，有高级感。方向盘我比较满意是大桃木的。比较好打理。细节做的不错，很多隐蔽的地方都有软的，绒的材料包裹。,5,"没有优惠。现在的销售哎……时代不同了。保养维护：一万公里保养一次目前还没有去。截止到发帖子的时候是三千二百三十三公里。故障：后背箱会关不上！弹起来。我观察了一段时间这个故障一直在。网上有人说是后备箱弹簧硬。在冬天天气很冷的时候他就开始关不上，几十次的关不上。你可以想象天寒地冻的一个人在马路边那儿反复的关后备箱盖子。去过ssss店,修理工教我了一个办法，就是手动把后备箱打开一次，再手动按键关一次。 有时候还是不顶用。 自己在网上也搜了一些小技巧，关了那么多次勉强的能关上吧。音响不错，声音很好。：听广播也很悦耳，开到地下停车场信号也比其他车要强很多。一分价钱一分货。抛开这个价格，是我听过最棒的影响。我就是听广播，听听流行歌我不需要炸街。",3
我身高1.76米，坐在驾驶室，把座位调到最低，头顶距离车内顶棚还有三个手指的距离。后座空间非常宽裕，第一次开车带妈妈兜风，不到20分钟她就在后排睡着了。前拍储物空间偏小，水都放不了几支。后尾箱较大。提车时，自己坐在右后座，把右前座调到最前面，空间巨大。,4,起步很稳。S从来就不是靠速度取胜的车型，从来不是绿灯亮起第一个冲出去的车型。跑过一次高速，感觉动力很充沛，超车也很迅速。动力足够了。,4,方向盘操控非常灵活，转弯、加速、刹车，都很随心，只是9速变速箱的顿挫感还是有的，特别是3档升4档的时候比较明显。中控变成了智能输入，还在适应。中控还在适应。还是喜欢之前的中控。性质差不多，新中控不太好操作。,5,可能是因为新车，6缸，还在磨合期，大部分时间是上下班在开，高峰期堵车，油耗比较高平均超过15，我加的是98的汽油，前5次加油都加了奔驰的原装燃油助力剂，整体还算满意吧。油耗有些高。还在磨合期。希望能降到10个油。,3,19寸的多幅防爆胎，胎噪比较大，特别是前轮胎噪比较明显。空气悬挂吸附了一部分路面不平带来的颠簸，右后座舒适性最好。另外，后座两侧和后窗的遮阳伞，也很好。车轮是19英寸的。胎噪有点大。过路况较差的路，颠簸感还是蛮强的。,5,很简约的外观设计，大气，沉稳，做工也很好。我贴了龙膜车衣，全面保护车漆，还可以提升车漆亮度，很满意。车灯很智能，很好看。外观简约、视觉很好。贴了车衣。晚上停好车。车灯设计：三道杠的前灯 和 后灯设计，非常惊艳。非常智能。前灯启动和熄火时，会变色，先后渐变蓝色、黄色、白色。特别惊艳。红灯启动和熄火时，亮度会有渐变，由暗变亮。很好看。和E级的两道缸比较，更大气。第一次加油拍的。车身非常修长，双涡轮的车，加98的油，做工车漆：车漆很亮，做工很好。比千篇一律的黑色看起来，更特别。,4,整体上，皮饰、木饰的做工都很精致，除了车顶篷的内饰，是纤维的，和100万车的身价不吻合。座椅很软。包围感很强。空调出风口、各种按键，细节处理很精致。皮质很软。,4,买车和结婚是一个道理，选择前或许挑三拣四，选择后就一定会死心塌地。这个观点可能别人不认同，觉得车就是个工具，过几年就要换，这辆S我不会换，会一直很爱惜、安全驾驶。爱车之人。第一次见到车拍的。,5
空间绝对可以了，储物空间比较小，手机都没有一个合适的地方放。后排舒服，座椅真舒服！,5,动力还可以，比不上740，起码依旧缓缓的，但起来过后就很好了。,4,这车就不要谈操控了，方向比较沉，车子大，又重，但开起来蛮有厚实感的。,2,油耗比较感人16-17目前，看看磨合期过后怎么样了，现在油耗比较大，加的98，552块钱加满。,3,舒适性基本上五星，座椅太舒服了，真不是一般的车能够给予的。胎噪比较大，可能因为20轮胎的原因，胎噪比较大，隔音觉得不如740，但也还可以了，毕竟130来万的车，这一点还是可以的。悬挂比较舒服，有点上下晃的感觉，如果比较喜欢晕车的人坐了奔驰，估计更喜欢晕车，上下起伏…,5,我觉得百万级别最好看的应该只有奔驰S了，并且一枝独秀！,5,内饰漂亮，设计感特别好，而且特别优雅，看起来很舒服。缺点：仿皮。味道太重了。同级别740四驱，一点味道没有，那才是真正的皮。这个奔驰，比他们贵二十万，还是仿皮，哎。,4,性价比一般，可以说没什么性价比，但从奔驰S这款车里，最有性价比的还是350豪华。450四驱，如果需要四驱的话，就上吧。,3
正常都是把后排的中央扶手放下，只坐4人，很宽大舒适，后备箱空间不用担心，轿车中绝对是优势。,5,3.0T高功率4驱，无论在什么车速，无论有没有开空调，都有用不完的力量,5,4驱的操控不用担心，非常好开,5,市区20，综合12,5,空气悬架，D级车绝对舒服,5,高大上,5,奢华，高端，典雅,5,这个价位好像不好说性价比，如果跟宾利、劳斯莱斯比的话，算是性价比吧！但又不是一个档次。买这个车还是看自己的资金和喜好吧，车子没的说！,5
空间不用说了，无论前排后排还是后备箱都足够大足够用。,5,只要不是去飙车，不管市内还是高速都足够用。舍得给油就有源源不断的动力。,5,稳稳当当 指向精准，就是车身长，短期停车还要适应。我们这车位太紧张，地库车位都小的可怜，一把进还是几把进，有时得看邻车停的心情 目前还好。。,5,新车市内基本15左右，跑了下高速10个多点，比预期好。,5,奔驰S级轿车舒适性就是最大的卖点，这个不需要说什么了。,5,外观大气沉稳，奔驰一直以来商务定位，如果年轻十岁，或许我会考虑宝马的7系。,5,奔驰的内饰应该来说是大家比较称赞的，坐进车里的第一感觉与其他车型相比，档次高一截。不过新车有点异味，不算严重，还能接受。。,5,没啥性价比这么一说，自己喜欢就好。东西没有贵不贵，只有值不值。,5
这个级别算正常吧，不算特别,4,这个问题我相信是大家很纠结的一个问题，2.0T300匹确实厉害，就是听起来不舒服，实际很够用，就像国六上线，以后车的排量也会越来约小，这是国家的政策，节能减排是趋势。原来我也很在乎缸数在乎排量，手上曾经4台车，只有A8是六缸，其他都是八缸，后来你会发现一个问题，除了朋友和看车人会说哇，V8，其实毫无卵用，高速敢跑150？城区敢超80？总之选这台车的我想也不是为了动力，各有各的看法与情怀，我个人觉得够用,4,开船,3,这个级别十分满意，比起手上其他24.5个油耗的某越野车真的满意太多,5,座椅很不错,4,D级车的标杆，无法超越吧，小时候还是比较受香港电影的影响吧车灯设计：你会发现奔驰也会玩灯，一个大灯84颗LED灯，两个大灯就是168颗LED，很酷,2,最喜欢，没有之一，就像汽车测评说的，这一代内饰真的是撼动业界，没有之一,2,不应该考虑性价比了，性价比应该是50以内的车考虑的，50网上的车价格都是虚高，就像上面说的，带来的已经不是车本身的用途了,3
S级的乘坐舒适空间没问题，后尾箱空间也足够，使用是满意的。,5,标称百公里5.8S的加速度，提速快，储备足。只是开了这个车，还没上牌，不想去插队。有时候自动跟车，别人要挤进来，那就让他挤好了，没必要一般见识。,5,非常不错，平时都用自动跟车功能，轻松很多。也是很满意的。底盘及悬架：都是在深圳市区和附近城市形势，地盘高级感十足！,5,低速18L，高速8L左右，还算满意高速深圳去中山来回油耗城市平时驾驶油耗城市路段表现：13L~18L的油耗记录，还算不错。拥堵路段油耗高高速路段表现：高速8L~9L的油耗记录。这个记录表示非常满意,5,舒适度很高，特别是乘坐感受。空调：空调很好，够劲。而且带了香氛功能，就是有香水味道噪音控制：车内噪音很低，音响还不错，非常商务场合搭配,5,外观漂亮，感觉很经典，也很协调。远看不大，近看不小车灯设计：车灯很智能，有路灯或者对面有车就不让你用远光灯。近视眼开车，路牌晚上有点看不清,5,配置可以，浅白色内饰，现车没得选。就是要用心维护，没办法,5,还不错，性价比算比较高。主要是配置都有了。本来想提320的，但是安全套餐等太久了，就买了现车450L 4MITAC。主要是品牌，空间，动力和舒适度，安全性。标配配置：% buffered00:00/00:14倍速高清高速公路和平时道路一样好用辅助驾驶功能，平时形势经常用，感觉很好??,5
180cm表示无压力，空间特别大，虽然不及迈巴赫但是足够了。储物空间：前排中央扶手箱只能放一部手机加一点零钱，感觉放不了什么东西手机无线充电久了居然会发烫，这个不知道会不会伤到手机电池。,5,虽然313匹但是地板油都觉得慢，起步慢但是速度上来就好了。运动模式会有明显的区别,4,% buffered00:00/00:12倍速高清感觉开起来特别轻松，路感也不错,5,貌似也不省油，有个经济模式，还没使用过不知道能省多少三种风格的液晶仪表盘，很优秀很喜欢,3,底盘悬架完美，开起来很舒服，出门旅行必备良品，底盘升降高度不够大，如果能再高点就完美了,5,沉稳大气，可是街车太多没人注意，但是气场十足,4,复古风中带一点科技感，奢华而不失典雅方向盘很好看，但是操作系统不是很好空调出风口质感很好后排娱乐还可以，但是遥控看起来很难操作。,5,一百多万买这个车应该性价比算高的了。性价比比玛莎好太多，功能也齐全某宝买的壳，质感不错和海王牌合个影标配配置：辅助系统很人性话，但是并线辅助在城市开几乎一直是亮着的。发现一个高科技功能！自动泊车，还可以车在车位上自己开出来，手机下载个多向遥控泊车，然后玩的很开心！,5
驾驶位放东西的地方少地可怜。中控有无线充电板，但是牺牲了放杂物的空间。后排储物箱很棒！,4,动力没的说，提速都没感觉速度就上来了，佩服这种匠心调校,5,当车各方面都很豪华了，阅历沉淀足了，操控这东西就不能拿出来了。四五十万以上的车操控都是很好的，再好又不上赛道,3,忽略不计，一个月2000的油，市区13左右,4,气动避震如履平地，加速不冲，刹车不急，大船算不上，陆地游艇吧,5,就冲amg运动件来的，十幅运动轮毂褒贬不一。,5,豪华感、线条感、氛围灯冲击感！一米长的ipad屏太香了！,5,7系a8都没试驾过就买450，不为别的，它给我带来生意上的效益不是那两车能给的,5
空间很满意，后排基本可以达到半躺状态 前排依然很宽松,5,动力响应很快，速度来的快，稳稳的。气动功能也挺不错,5,奔驰的操控跟其他BBA比起来是差点，但是这毕竟是以舒适为主,5,百公里13个油已经很满意了。市区基本15,5,空间宽大，底盘调教很舒适，内饰没有任何味道,5,高大上，一看前脸就知道这是S大佬 毕竟几何多束光在那儿。,5,内饰没得说，奔驰就是玩这个的，64色氛围灯让你爽翻,5,同级别比起来，这个性价比更高，如果偏向驾驶感那就选新7，在换代前这个依然是王者,5
要是单独地考虑空间，奔驰没有可比性，那你最好去选择商务车。☆ 空间设计亮点：空间方面吗，此车最适合前面两个人后面两个人，舒适。后备厢容积：本来就是高端商务轿车，后备箱虽然没有A6大，但是我是够用了。,5,动力澎湃形容S350最合适不过了，推背感太强了，本人开车从来是不喜欢我的前面有车的，必超！,5,这几天适应了中间没有档把的日子，再也不起步的时候往中间抓一把了??，这个后驱的优势在这一个月的体验中也感觉出来了它的优势了，过弯明显心里有底多了，基本上高速出口都是100不减速的。,5,没想到这个3.0T的大家伙只比之前的2.0T奥迪高一个油，我是很知足了。,5,空气悬挂，谁用谁知道，一点都没有那种硬的颠簸感。,5,听说再改款了，赶紧下手买的这款车，你就知道这个外观我有多满意了，中年人的最爱。,5,黑外米内，就按着网上的图片选的，这个内饰显着里面宽敞，也许跟之前的奥迪内饰类似的缘故吧，还是一种情怀。,5,我感觉这个车就应该是百万级的车，没有之一。,5
这个级别的车，空间绝对宽裕。跑高速可以给小孩放个马桶,5,5.7s的加速，应该超过路上90%的车了。,5,毕竟车长超过5米。操控不如7系，后驱容易打滑。,4,没仔细计算过，综合油耗应该15左右。这个级别了，应该不关注油耗。,4,舒适性同级别最好，也是卖点之一。一般颠簸过滤的不错。,5,原车轮毂太丑，整车偏老气。改了BBS-RN20寸，S63包围，整体提升不少。,5,这代内饰已经很完美。加了旋转高音，IWC表，原厂运动方向盘。,5,官降之后，性价比很高。毕竟拥有同级别最高的认知度和最优的保值率。,5
我一米八的个子开这车没有感到紧凑。 包括后排,5,踩油就给。两吨多的家伙开起来还是可以的 只要你舍得给油,5,操控五米多的人车子开起来并没有什么不适 方向指哪打哪,5,油耗目前还是偏高 市区基本18个点的样子。,5,还没有什么机会坐后排。以后有机会试试再说,5,外观这代奔驰适蛮运动时尚的 也适合我们年轻人。只是轮毂有点low,5,奔驰的内饰没得说。就是这么精致 喜欢喜欢还是喜欢,5,350豪华性价比还是不错的 不管是开还是坐都喜欢,5
空间很大，非常的舒适！副驾驶的后排可以几乎放到，把副驾驶收起来。,5,动力不用说了，油门一踩，蹭蹭蹭。还是不错的。毕竟3.0,5,操控其实总体还不错，但是大家都说开宝马，坐奔驰。,4,今天16号才提的车，还没有综合油耗，后期再具体看，,4,舒适度百分百的满意，这个价格了，没有什么大的不满意了，如果后排座椅带按摩就好了,5,还是不错的，流线型，但是和我家里的捷豹xj外观比起来，个人还是觉得捷豹的英伦风更好，,4,晚上的氛围灯亮起来，放着老歌，真的太舒服了。,5,还是很满意的，联系考虑s350的，咬咬牙，直接上450。毕竟4驱，,5
0,5,3.0的双涡轮增压发动机，动力决对的够用了，虽然不是高功率的，但是我认为差不了哪去！,5,还没有怎么开，暂时没有资格说话,4,新车，油耗多少都有，百公里20、10、7.3都有首先油箱是70升的，小了，80升就好了，原先的E300L是80的升的，一箱油可以跑780公里左右，现,4,后排座椅可以动的，非常喜欢！,5,美丽大方,5,做工是我看见的最精细、高档的了，因为我也没开过宾利,5,自己喜欢就好，哈哈哈！没有性价比的说法！,5
空间绝对够用，特别是后排，还是比较舒适,4,3.0T，300多匹的动力是足够用了,5,起步稳重，加速有劲,5,市区15-18个油，高速比较省，大约7-8个油,5,后排很舒适，开宝马坐奔驰是有道理的,5,稳重大气，经典立标,5,超爱大屏,5,优惠4万，还送一些精品，摇到号，有现车就尽快提了,5
看照片 本人180,5,新车 舍不得很踩油门 官方百公里五秒多 过了首保必须要刺激一次,4,非专业人员 不好做出评价 反正我开着是挺爽,4,目前500公里15.3 3.0V6双涡轮增压这个油耗很惊喜 惊喜可能是以前开的都是二十多个油的车,5,开宝马坐奔驰 这是多少年前都有的口碑！！ 舒适性毋庸置疑 摸着方向盘就兴奋 坐在后排就犯困！,5,20寸AMG大轮毂谁看谁知道。,5,奔驰的这两个大屏幕简直无敌，要是能有触摸功能就更完美了。,5,一辆行走的人民币！,5
舒服，真的很舒服，比我x3软和多了，如大板凳换了沙发你说开心不开心,5,特意选了3.0的，动力好而且没啥噪声,5,车虽然大但是开起来的感觉不累,5,还可以吧，我不太走拥堵的地段，油耗目前12左右,4,买这个车就是看中了舒适性,5,高端大气上档次，低调奢华有内涵,5,科技感十足，就喜欢这个范,5,价格越低越有性价比，别的就不谈了，买这个车主要目的就是为了家用商用，还是很舒服的，努力一下，以后继续上,5
空间绝对够用,4,不追求激烈驾驶够用。可能动力比较低吧。升档不积极降档比较积极。,3,还可以吧，掉头比较方便。,4,高速7个左右，市区12左右,5,空间这个级别没的说，就是后排取消了座位调节,4,三道杠就是帅，比老款精神很多。,5,大屏氛围灯最爱！,4,性价比很一般，但喜欢奔驰没办法,3
